,duracion_recorrido,nombre_estacion_origen,nombre_estacion_destino,MES,DIA
3,2472,Plaza Italia,HOSPITAL DE CLÍNICAS,January,22
31,761,PARQUE DEL BAJO,Retiro I,January,04
38,742,Constitución,Plaza Libertad,January,04
40,910,Constitución,AZUCENA VILLAFLOR,January,04
110,1878,Constitución,MACACHA GUEMES,January,20
185,497,Congreso,MANZANA 66,January,16
213,562,Congreso,Independencia,January,25
245,2069,Pacifico,PLAZA SABATTINI,January,01
267,904,Constitución,Parque Lezama,January,05
268,1388,Constitución,Plaza Libertad,January,05
269,1491,Constitución,MACACHA GUEMES,January,05
314,223,PARQUE DEL BAJO,Catedral,January,23
323,1406,Constitución,MACACHA GUEMES,January,23
361,3412,Congreso,VIRREY CEVALLOS,January,18
363,1244,Congreso,MANZANA 66,January,18
364,1119,Constitución,ESTADOS UNIDOS Y BOEDO,January,18
381,509,Constitución,ALSINA,January,13
382,282,PARQUE DEL BAJO,Catedral,January,13
385,9978,Congreso,PARQUE PATRICIOS II,January,13
387,1513,Pacifico,Acuña de Figueroa,January,13
401,8686,PARQUE DEL BAJO,PARQUE DEL BAJO,January,13
434,1670,Congreso,BRASIL,January,12
435,668,Congreso,MANZANA 66,January,12
436,270,Pacifico,Godoy Cruz y Libertador,January,12
448,308,PARQUE DEL BAJO,Catedral,January,12
483,486,Congreso,Montevideo,January,02
540,345,Constitución,Parque Lezama,January,26
541,1463,Constitución,MACACHA GUEMES,January,26
566,1921,Plaza Italia,PLAZA 24 DE SEPTIEMBRE,January,30
662,3443,Plaza Italia,Ecoparque,January,15
687,710,Constitución,Congreso,January,31
690,436,Constitución,ALSINA,January,31
705,2249,Congreso,VILLARROEL,January,31
744,1194,Constitución,JULIETA LANTERI,January,10
776,566,Constitución,Congreso,January,27
778,490,Plaza Italia,Pacifico,January,27
787,1678,Congreso,JULIETA LANTERI,January,27
802,1056,Pacifico,Plaza Gurruchaga,January,27
814,1858,Pacifico,PLAZA SABATTINI,January,27
816,509,Constitución,ALSINA,January,17
823,1611,Plaza Italia,Ecoparque,January,17
861,451,Constitución,ALSINA,January,11
869,368,Congreso,Paraná,January,11
873,865,Congreso,HOSPITAL RAMOS MEJIA,January,11
886,987,Constitución,Usina del Arte,January,11
891,278,Pacifico,Godoy Cruz y Libertador,January,11
896,2126,Pacifico,PLAZA BOLIVIA,January,11
909,9271,Congreso,Suipacha,January,19
910,439,Constitución,ALSINA,January,19
921,1495,Constitución,MACACHA GUEMES,January,19
949,483,Constitución,ALSINA,January,06
980,331,Congreso,TEATRO PICADERO,January,09
997,278,PARQUE DEL BAJO,Catedral,January,09
1002,1578,Constitución,Reconquista,January,09
1003,1640,Constitución,Constitución,January,09
1017,406,Constitución,ALSINA,January,24
1021,844,Pacifico,Ecoparque,January,24
1027,2509,PARQUE DEL BAJO,MACACHA GUEMES,January,24
1031,479,Congreso,MANZANA 66,January,24
1099,1100,Congreso,HOSPITAL ARGERICH,January,04
1120,825,Constitución,SEC. DE INNOVACION Y TRANSFORMACIÓN,January,04
1123,2992,Plaza Italia,De Los Ombues,January,07
1129,1776,Constitución,Catedral,January,07
1130,228,Constitución,Constitución,January,07
1139,328,Congreso,VIRREY CEVALLOS,January,20
1151,482,PARQUE DEL BAJO,FACULTAD DE INGENIERIA,January,20
1155,772,Constitución,9 de Julio,January,20
1215,518,Congreso,Catedral,January,16
1227,515,PARQUE DEL BAJO,FACULTAD DE INGENIERIA,January,16
1251,1197,Plaza Italia,Plaza Italia,January,25
1254,585,Congreso,Catedral,January,25
1256,711,Constitución,Catedral,January,25
1263,707,Constitución,9 de Julio,January,25
1270,836,Congreso,FACULTAD DE INGENIERIA,January,25
1277,473,Pacifico,Fitz Roy & Gorriti,January,25
1300,1519,Plaza Italia,Plaza Alemania,January,05
1301,1478,Plaza Italia,General Urquiza,January,05
1303,1081,Congreso,HUMBERTO 1°,January,05
1314,1154,Constitución,Ayacucho,January,05
1351,551,PARQUE DEL BAJO,FACULTAD DE INGENIERIA,January,23
1358,683,Constitución,Catedral,January,23
1359,558,Constitución,9 de Julio,January,23
1386,664,Constitución,Catedral,January,18
1397,530,Constitución,9 de Julio,January,18
1398,629,Constitución,9 de Julio,January,18
1399,474,Constitución,HUMBERTO 1°,January,18
1410,591,Plaza Italia,,January,18
1432,631,Constitución,Catedral,January,13
1438,811,Congreso,HUMBERTO 1°,January,13
1447,920,Pacifico,Fitz Roy & Gorriti,January,13
1478,1316,Constitución,Ayacucho,January,12
1495,545,Congreso,Catedral,January,02
1498,843,Pacifico,Hospital Rivadavia,January,02
1501,320,Congreso,Plaza Primero de Mayo,January,02
1504,4409,Plaza Italia,MACACHA GUEMES,January,02
1519,528,Constitución,CALIFORNIA,January,02
1564,759,Congreso,FACULTAD DE INGENIERIA,January,30
1589,731,Constitución,Catedral,January,30
1590,874,Constitución,Constitución,January,30
1591,415,Constitución,Plazoleta Colombia,January,30
1646,1544,Plaza Italia,Plaza Italia,January,15
1649,1007,PARQUE DEL BAJO,MARCELO T. DE ALVEAR,January,15
1690,443,Congreso,Catedral,January,31
1691,702,Constitución,Catedral,January,31
1699,756,Constitución,9 de Julio,January,31
1707,727,Congreso,FACULTAD DE INGENIERIA,January,31
1708,485,PARQUE DEL BAJO,FACULTAD DE INGENIERIA,January,31
1714,899,Congreso,Pedro Echague,January,31
1753,854,Constitución,Catedral,January,10
1788,807,Constitución,9 de Julio,January,27
1816,413,Constitución,HUMBERTO 1°,January,17
1818,327,PARQUE DEL BAJO,CORRIENTES,January,17
1821,567,PARQUE DEL BAJO,FACULTAD DE INGENIERIA,January,17
1826,341,Congreso,VIRREY CEVALLOS,January,17
1851,810,Congreso,HUMBERTO 1°,January,11
1861,1348,Plaza Italia,,January,11
1889,717,Constitución,Catedral,January,19
1894,955,Pacifico,Acuña de Figueroa,January,19
1899,590,Constitución,9 de Julio,January,19
1908,655,PARQUE DEL BAJO,FACULTAD DE INGENIERIA,January,19
1928,2641,Plaza Italia,Plaza Italia,January,06
1947,524,Constitución,CALIFORNIA,January,06
1967,1611,Congreso,FACULTAD DE PSICOLOGIA,January,09
1968,674,Congreso,MANZANA 66,January,09
1982,562,Constitución,CALIFORNIA,January,09
2020,699,Constitución,Catedral,January,24
2034,735,Constitución,9 de Julio,January,24
2041,1032,Congreso,FACULTAD DE INGENIERIA,January,24
2042,536,PARQUE DEL BAJO,FACULTAD DE INGENIERIA,January,24
2108,923,Constitución,Plaza Libertad,January,04
2109,1239,Plaza Italia,Ecoparque,January,04
2127,577,Pacifico,,January,04
2138,1419,Congreso,Plaza Jose C Paz,January,04
2163,2035,Congreso,Belaustegui,January,20
2204,452,Pacifico,RAVIGNANI,January,14
2265,832,PARQUE DEL BAJO,HUMBERTO 1°,January,16
2268,1308,PARQUE DEL BAJO,JUAN MANUEL DE BLANES,January,16
2269,13221,Congreso,Plaza Alemania,January,16
2272,1082,Congreso,MINISTERIO DE EDUCACION,January,16
2276,1395,Pacifico,General Urquiza,January,16
2315,1988,Constitución,Constitución,January,25
2320,1368,Plaza Italia,F.J.Santamaria de Oro,January,25
2341,732,Congreso,Suipacha,January,05
2360,952,Constitución,Plaza Libertad,January,05
2361,345,Constitución,BRASIL,January,05
2381,1961,Congreso,PLAZA 24 DE SEPTIEMBRE,January,23
2393,1034,PARQUE DEL BAJO,JULIETA LANTERI,January,23
2400,767,Constitución,Suipacha,January,23
2419,394,Congreso,ONCE,January,18
2424,792,Constitución,Suipacha,January,18
2449,1358,Congreso,Rivadavia y 9 de Julio,January,18
2455,1373,Pacifico,Husares,January,18
2491,277,Constitución,BRASIL,January,13
2496,1458,Pacifico,Coronel Diaz,January,13
2513,848,Pacifico,PLAZA BOLIVIA,January,12
2523,2153,PARQUE DEL BAJO,CASA SAN,January,12
2543,1325,Pacifico,Pacifico,January,02
2547,1458,Constitución,Plaza Libertad,January,02
2573,299,Constitución,UADE,January,02
2584,1221,Congreso,Parque Lezama,January,26
2585,238,Congreso,ALSINA,January,26
2606,810,Constitución,Madero UCA,January,26
2627,244,Congreso,ALSINA,January,30
2628,657,Pacifico,,January,30
2647,788,PARQUE DEL BAJO,HUMBERTO 1°,January,30
2680,2285,Congreso,Galicia,January,03
2693,6298,PARQUE DEL BAJO,OBELISCO,January,03
2709,4138,Pacifico,Pacifico,January,15
2714,4555,Plaza Italia,Ecoparque,January,15
2747,3609,Pacifico,BARRANCAS DE BELGRANO,January,29
2757,236,Congreso,ALSINA,January,31
2768,1342,PARQUE DEL BAJO,FACULTAD DE INGENIERIA,January,31
2772,554,Plaza Italia,,January,31
2803,1666,Plaza Italia,PLAZA MONSEÑOR MIGUEL DE ANDREA,January,10
2804,1213,Congreso,Congreso,January,10
2831,960,Constitución,Plaza Libertad,January,10
2849,661,PARQUE DEL BAJO,HUMBERTO 1°,January,27
2855,293,Constitución,BRASIL,January,27
2890,824,PARQUE DEL BAJO,HUMBERTO 1°,January,17
2895,603,Plaza Italia,,January,17
2904,2464,Congreso,Belaustegui,January,17
2915,1959,Plaza Italia,Parque Las Heras,January,11
2932,527,Congreso,LARREA Y BARTOLOMÉ MITRE,January,11
2936,236,Constitución,Estados Unidos,January,11
2976,864,Congreso,Ayacucho,January,19
2989,603,Pacifico,,January,19
3012,1947,Plaza Italia,Plaza Italia,January,06
3014,984,Constitución,Plaza Libertad,January,06
3025,570,Pacifico,,January,06
3038,590,Pacifico,,January,09
3064,70,Congreso,Congreso,January,24
3076,406,Constitución,Independencia,January,24
3083,800,PARQUE DEL BAJO,HUMBERTO 1°,January,24
3084,980,Congreso,PARQUE DEL BAJO,January,24
3123,1189,Congreso,AIME PAINÉ,January,22
3141,895,Pacifico,Ministro Carranza,January,08
3145,511,Constitución,Pedro Echague,January,08
3183,741,Constitución,Buenos Aires,January,04
3193,3250,Pacifico,Godoy Cruz y Libertador,January,07
3219,1158,Plaza Italia,Godoy Cruz y Libertador,January,20
3263,2367,Pacifico,HOSPITAL DE CLÍNICAS,January,21
3272,5463,PARQUE DEL BAJO,RODRIGO BUENO,January,21
3287,1525,Pacifico,Jose Maria Moreno,January,28
3326,983,Congreso,PLAZA MONSEÑOR MIGUEL DE ANDREA,January,16
3329,439,Pacifico,Fitz Roy & Gorriti,January,16
3350,1580,Pacifico,Montevideo,January,25
3402,288,Plaza Italia,Godoy Cruz y Libertador,January,05
3419,521,PARQUE DEL BAJO,JULIETA LANTERI,January,05
3465,496,PARQUE DEL BAJO,AZUCENA VILLAFLOR,January,23
3470,441,Constitución,HUMBERTO 1°,January,23
3471,1801,Constitución,Constitución,January,23
3502,331,PARQUE DEL BAJO,AZUCENA VILLAFLOR,January,18
3508,510,Constitución,HUMBERTO 1°,January,18
3510,579,Pacifico,UGARTECHE,January,18
3544,2504,PARQUE DEL BAJO,ADUANA,January,13
3545,205,PARQUE DEL BAJO,ADUANA,January,13
3572,2250,Constitución,Constitución,January,13
3586,2561,Constitución,Av. La Plata,January,13
3594,2006,Plaza Italia,Plaza Mafalda,January,12
3595,1447,Congreso,HUMBERTO 1°,January,12
3596,594,Congreso,Ministerio de Economia,January,12
3597,1291,Pacifico,Velasco,January,12
3613,1923,PARQUE DEL BAJO,ADUANA,January,12
3614,1304,PARQUE DEL BAJO,FACULTAD DE PSICOLOGIA,January,12
3657,1075,Pacifico,Billinghurst,January,02
3666,3081,Constitución,HUMBERTO 1°,January,02
3673,714,Pacifico,Plaza Alemania,January,02
3690,3319,Pacifico,Pacifico,January,26
3691,1732,Pacifico,Reconquista,January,26
3692,901,Pacifico,UGARTECHE,January,26
3693,2102,Pacifico,PLAZA FELIX LIMA,January,26
3711,1738,PARQUE DEL BAJO,ADUANA,January,26
3712,208,PARQUE DEL BAJO,ADUANA,January,26
3715,530,Constitución,HUMBERTO 1°,January,26
3737,442,Pacifico,RAVIGNANI Y GUATEMALA,January,30
3748,1311,PARQUE DEL BAJO,POSADAS,January,30
3749,3312,PARQUE DEL BAJO,Ministerio de Economia,January,30
3755,425,Constitución,HUMBERTO 1°,January,30
3756,646,Constitución,Legislatura,January,30
3801,718,Constitución,JULIETA LANTERI,January,03
3802,356,Constitución,BRASIL,January,03
3820,377,Plaza Italia,Plaza Palermo Viejo,January,15
3825,943,PARQUE DEL BAJO,RETIRO II,January,15
3826,1294,Congreso,AIME PAINÉ,January,15
3858,207,PARQUE DEL BAJO,ADUANA,January,31
3867,686,Congreso,Pasco,January,31
3872,665,Pacifico,Plaza Alemania,January,31
3874,1175,PARQUE DEL BAJO,POSADAS,January,31
3954,110,Pacifico,Pacifico,January,27
3964,1006,PARQUE DEL BAJO,JULIETA LANTERI,January,27
3975,803,Pacifico,MALBA,January,27
3978,3854,Plaza Italia,Venancio Flores,January,27
3985,2584,PARQUE DEL BAJO,ADUANA,January,17
4032,2075,PARQUE DEL BAJO,ADUANA,January,11
4037,874,Plaza Italia,Ecoparque,January,11
4049,450,Constitución,HUMBERTO 1°,January,11
4090,3614,Pacifico,Pacifico,January,19
4110,1670,Constitución,Constitución,January,19
4118,404,Pacifico,Fitz Roy & Gorriti,January,19
4120,7031,Pacifico,Guatemala,January,19
4133,1626,PARQUE DEL BAJO,ADUANA,January,06
4148,501,Constitución,HUMBERTO 1°,January,06
4181,212,Congreso,VIRREY CEVALLOS,January,09
4193,1925,PARQUE DEL BAJO,ADUANA,January,09
4194,1094,PARQUE DEL BAJO,JUAN MANUEL DE BLANES,January,09
4223,1674,PARQUE DEL BAJO,Ecoparque,January,24
4277,1112,Constitución,FACULTAD DE INGENIERIA,January,22
4278,284,Constitución,BRASIL,January,22
4281,14503,Pacifico,BARRANCAS DE BELGRANO,January,22
4295,2181,Congreso,Coronel Diaz,January,08
4340,1092,Pacifico,COSTANERA NORTE,January,04
4389,264,Constitución,BRASIL,January,14
4405,3114,Plaza Italia,General Urquiza,January,21
4406,817,Pacifico,Fitz Roy,January,21
4426,1210,Plaza Italia,SECRETARÍA DE DEPORTES,January,28
4432,1703,Constitución,Retiro I,January,28
4479,2267,Plaza Italia,Ecoparque,January,25
4482,1489,Constitución,Billinghurst,January,25
4550,1553,Pacifico,Acuña de Figueroa,January,23
4551,859,Pacifico,Malabia,January,23
4563,866,Constitución,FACULTAD DE INGENIERIA,January,23
4589,2230,Pacifico,Pacifico,January,18
4622,1266,Pacifico,COSTANERA NORTE,January,18
4624,496,Plaza Italia,Parque Las Heras,January,13
4644,685,Constitución,CALIFORNIA,January,13
4656,537,Congreso,TEATRO PICADERO,January,13
4660,886,Congreso,ESMERALDA,January,12
4722,626,Congreso,Pasteur,January,02
4725,1505,Constitución,Hipólito Yrigoyen,January,02
4753,391,Constitución,BRASIL,January,26
4784,332,Congreso,Paraná,January,30
4785,1230,Pacifico,COSTANERA NORTE,January,30
4800,688,PARQUE DEL BAJO,RETIRO II,January,30
4805,639,Constitución,CALIFORNIA,January,30
4834,4227,Pacifico,Pacifico,January,03
4835,1624,Pacifico,Pacifico,January,03
4842,322,PARQUE DEL BAJO,MAIPÚ,January,03
4891,345,Constitución,BRASIL,January,29
4910,367,Congreso,Montevideo,January,31
4927,1090,Constitución,AIME PAINÉ,January,31
4932,278,Congreso,VIRREY CEVALLOS,January,31
4935,274,Plaza Italia,Godoy Cruz y Libertador,January,31
4936,1635,PARQUE DEL BAJO,Godoy Cruz y Libertador,January,31
4939,501,Pacifico,Plaza República de Ecuador,January,31
4941,780,Constitución,CALIFORNIA,January,31
4967,2308,Congreso,RAVIGNANI,January,10
4979,867,Constitución,Plazoleta Colombia,January,10
5033,1028,Pacifico,Acuña de Figueroa,January,17
5041,269,Constitución,BRASIL,January,17
5070,1076,Congreso,Plaza Libertad,January,11
5126,901,Plaza Italia,Plaza República de Ecuador,January,19
5142,1232,Pacifico,COSTANERA NORTE,January,19
5145,206,PARQUE DEL BAJO,MAIPÚ,January,06
5158,1455,Congreso,Constitución,January,06
5172,617,Constitución,CALIFORNIA,January,06
5188,697,Pacifico,,January,09
5227,1425,Constitución,Acuña de Figueroa,January,24
5244,770,Constitución,CALIFORNIA,January,24
5260,1103,Pacifico,COSTANERA NORTE,January,24
5273,1012,Pacifico,Plaza Alemania,January,22
5302,832,Congreso,Ministerio de Economia,January,08
5311,1841,Constitución,Julián Álvarez,January,04
5317,1047,Constitución,MACACHA GUEMES,January,04
5335,1688,Constitución,Plaza Don Segundo Sombra,January,04
5359,498,Plaza Italia,,January,20
5370,111,PARQUE DEL BAJO,MACACHA GUEMES,January,20
5371,719,Constitución,Usina del Arte,January,20
5405,2530,PARQUE DEL BAJO,BARRANCAS DE BELGRANO,January,14
5417,1200,Constitución,RODRIGO BUENO,January,21
5419,2352,Congreso,Congreso,January,28
5420,4311,Congreso,Jose Maria Moreno,January,28
5422,2466,Pacifico,Godoy Cruz y Libertador,January,28
5428,802,Constitución,JULIETA LANTERI,January,28
5441,1384,Pacifico,Plaza Italia,January,16
5470,926,Constitución,Hospital Britanico,January,16
5472,810,Constitución,RODRIGO BUENO,January,16
5487,2619,Constitución,Plaza Don Segundo Sombra,January,16
5494,1956,Plaza Italia,PASEO DE LA COSTANERA,January,16
5539,61,Congreso,Congreso,January,05
5554,2117,PARQUE DEL BAJO,CASA SAN,January,05
5561,1285,Constitución,MACACHA GUEMES,January,05
5562,1778,Constitución,Plaza Don Segundo Sombra,January,05
5593,1897,Congreso,Padilla,January,23
5594,3391,Congreso,JULIETA LANTERI,January,23
5651,1063,Congreso,Plaza Libertad,January,18
5659,182,PARQUE DEL BAJO,MACACHA GUEMES,January,18
5676,3144,Constitución,Plaza Don Segundo Sombra,January,18
5707,701,Constitución,FACULTAD DE INGENIERIA,January,13
5723,1763,Constitución,Plaza Don Segundo Sombra,January,13
5736,1671,Pacifico,Hospital Rivadavia,January,12
5788,1900,Congreso,Padilla,January,02
5795,754,Constitución,CARLOS CALVO,January,02
5797,214,PARQUE DEL BAJO,MACACHA GUEMES,January,02
5818,782,Pacifico,Fitz Roy,January,26
5819,1546,Pacifico,,January,26
5869,1926,Congreso,Padilla,January,30
5870,1019,Congreso,VIRREY CEVALLOS,January,30
5893,1413,Constitución,HOSPITAL ALEMÁN,January,30
5894,667,Constitución,SEC. DE INNOVACION Y TRANSFORMACIÓN,January,30
5945,982,Constitución,9 de Julio,January,03
5984,12275,Constitución,CALIFORNIA,January,29
5997,1297,Congreso,Congreso,January,31
6014,884,Congreso,Estados Unidos,January,31
6025,583,Constitución,Usina del Arte,January,31
6054,1969,Congreso,FACULTAD DE DERECHO,January,10
6072,1392,Constitución,Montevideo,January,10
6103,632,Congreso,Congreso,January,27
6111,958,Constitución,MACACHA GUEMES,January,27
6113,670,Pacifico,UGARTECHE,January,27
6172,682,Constitución,Usina del Arte,January,17
6179,1512,Constitución,Plaza Don Segundo Sombra,January,17
6197,3662,Plaza Italia,Plaza Italia,January,11
6198,4082,Plaza Italia,Plaza Italia,January,11
6208,177,PARQUE DEL BAJO,MACACHA GUEMES,January,11
6219,2604,Plaza Italia,PLAZA CIUDAD DE UDINE,January,11
6229,1688,Constitución,Plaza Don Segundo Sombra,January,11
6242,3772,Pacifico,Parque Avellaneda,January,11
6250,1328,Plaza Italia,Plaza Vicente Lopez,January,19
6270,3021,PARQUE DEL BAJO,PARQUE DEL BAJO,January,19
6287,558,Pacifico,Solar de la Abadía,January,19
6297,3211,Plaza Italia,Plaza Italia,January,06
6314,2146,Congreso,Constitución,January,06
6356,172,PARQUE DEL BAJO,MACACHA GUEMES,January,09
6357,2755,PARQUE DEL BAJO,AUSTRIA Y FRENCH,January,09
6364,1856,Constitución,José Martí,January,09
6406,1274,Congreso,PARQUE DEL BAJO,January,24
6415,634,Constitución,Usina del Arte,January,24
6426,3118,Congreso,GARCIA DEL RIO,January,24
6439,592,Constitución,SEC. DE INNOVACION Y TRANSFORMACIÓN,January,24
6443,1637,Constitución,ESMERALDA,January,22
6454,1527,Congreso,RODRIGO BUENO,January,08
6458,3074,Pacifico,FACULTAD DE DERECHO,January,08
6470,566,Constitución,BELGRANO,January,04
6479,697,PARQUE DEL BAJO,JULIETA LANTERI,January,04
6488,615,Pacifico,Fitz Roy & Gorriti,January,04
6538,2014,PARQUE DEL BAJO,AUSTRIA Y FRENCH,January,20
6541,808,Constitución,Luna,January,20
6561,162,PARQUE DEL BAJO,MACACHA GUEMES,January,14
6567,1605,PARQUE DEL BAJO,POSADAS,January,14
6593,1636,Pacifico,Pacifico,January,28
6620,597,PARQUE DEL BAJO,CERRITO,January,16
6635,308,Constitución,BRASIL,January,16
6637,1269,Constitución,Constitución,January,16
6644,3462,Congreso,SIMON BOLIVAR,January,16
6664,1011,Pacifico,Julián Álvarez,January,25
6675,574,PARQUE DEL BAJO,RETIRO II,January,25
6679,276,Constitución,BRASIL,January,25
6684,2530,Plaza Italia,PLAZA CASTELLI,January,25
6693,576,Constitución,Luna,January,25
6694,441,Constitución,Plazoleta Colombia,January,25
6700,2488,Plaza Italia,,January,01
6713,1040,Pacifico,Hospital Rivadavia,January,05
6737,724,Constitución,ADUANA,January,05
6738,893,Constitución,Parque Lezama,January,05
6739,399,Constitución,Estados Unidos,January,05
6740,226,Constitución,BRASIL,January,05
6766,981,Plaza Italia,Plaza Gurruchaga,January,23
6767,493,Congreso,Pasco,January,23
6768,1166,Pacifico,Carlos Gardel,January,23
6786,610,PARQUE DEL BAJO,RETIRO II,January,23
6824,293,PARQUE DEL BAJO,JUANA MANSO I,January,18
6839,1419,Plaza Italia,AUSTRIA Y FRENCH,January,18
6860,2111,Congreso,VALLE,January,13
6867,2126,Plaza Italia,Cementerio de Recoleta,January,13
6872,1763,Constitución,Constitución,January,13
6892,971,Plaza Italia,,January,12
6893,914,Plaza Italia,RAVIGNANI Y GUATEMALA,January,12
6894,1611,Pacifico,General Urquiza,January,12
6986,591,Pacifico,Solar de la Abadía,January,26
7025,2648,Plaza Italia,PLAZA CASTELLI,January,30
7044,989,PARQUE DEL BAJO,RODRIGO BUENO,January,30
7076,649,Congreso,Jorgelina De Simone,January,03
7093,928,Constitución,ONCE II,January,03
7148,2785,Constitución,JULIETA LANTERI,January,29
7184,1906,Plaza Italia,PLAZA CASTELLI,January,31
7199,2045,Congreso,CERRITO,January,10
7200,186,Congreso,VIRREY CEVALLOS,January,10
7201,1010,Pacifico,MALBA,January,10
7202,891,Pacifico,La Pampa,January,10
7227,282,Constitución,BRASIL,January,10
7262,1628,Congreso,José Marmol,January,27
7284,1575,Plaza Italia,Uruguay,January,17
7289,2490,Constitución,GÚZMAN,January,17
7291,153,PARQUE DEL BAJO,MACACHA GUEMES,January,17
7328,785,Pacifico,Plaza Palermo Viejo,January,11
7331,1717,Congreso,VALLE,January,11
7433,226,Congreso,VIRREY CEVALLOS,January,09
7458,1573,Constitución,Reconquista,January,09
7483,1310,Congreso,RIOBAMBA,January,24
7518,2579,Plaza Italia,General Urquiza,January,22
7545,1710,PARQUE DEL BAJO,Plaza Almagro,January,04
7579,795,Plaza Italia,,January,07
7584,2921,PARQUE DEL BAJO,LIMA,January,07
7596,1055,Plaza Italia,De Los Ombues,January,20
7619,575,Constitución,FACULTAD DE INGENIERIA,January,20
7620,2472,Constitución,Guatemala,January,20
7621,706,Constitución,CARLOS CALVO,January,20
7669,1511,Congreso,CARLOS CALVO,January,28
7687,601,Constitución,CARLOS CALVO,January,16
7723,1500,Congreso,Congreso,January,25
7742,468,Constitución,FACULTAD DE INGENIERIA,January,25
7784,1368,Congreso,Coronel Diaz,January,05
7810,2067,Constitución,HOSPITAL DE CLÍNICAS,January,05
7829,733,Plaza Italia,General Urquiza,January,23
7841,1037,PARQUE DEL BAJO,JULIETA LANTERI,January,23
7855,2072,Constitución,Plaza Guemes,January,23
7892,521,Pacifico,Plaza Palermo Viejo,January,18
7895,633,Pacifico,ARAOZ,January,18
7900,2036,Constitución,AGUERO,January,18
7907,588,Constitución,FACULTAD DE INGENIERIA,January,18
7948,513,Constitución,FACULTAD DE INGENIERIA,January,13
7949,1577,Congreso,BRASIL,January,13
7956,1674,PARQUE DEL BAJO,PERÓN Y ACUÑA DE FIGUEROA,January,13
7985,722,Plaza Italia,Billinghurst,January,12
8005,806,Constitución,CARLOS CALVO,January,12
8006,538,Constitución,FACULTAD DE INGENIERIA,January,12
8037,876,PARQUE DEL BAJO,HUMBERTO 1°,January,02
8038,103,PARQUE DEL BAJO,PARQUE DEL BAJO,January,02
8068,2151,Plaza Italia,VALLE,January,26
8075,1018,PARQUE DEL BAJO,PARQUE DEL BAJO,January,26
8082,648,Constitución,CARLOS CALVO,January,26
8112,736,Congreso,CARLOS CALVO,January,30
8113,1492,Pacifico,PLAZA LUCIO DEMARE,January,30
8139,746,PARQUE DEL BAJO,HUMBERTO 1°,January,30
8140,1023,PARQUE DEL BAJO,HUMBERTO 1°,January,30
8153,2552,Constitución,Guatemala,January,30
8175,1360,Pacifico,ONCE,January,03
8190,1263,Constitución,Plaza Vicente Lopez,January,03
8221,3791,Constitución,PRIMERA JUNTA,January,15
8242,1069,Pacifico,,January,29
8257,721,Pacifico,ARAOZ,January,31
8272,1168,Constitución,HOSPITAL ARGERICH,January,31
8273,1696,Plaza Italia,Fitz Roy & Gorriti,January,31
8300,1612,PARQUE DEL BAJO,Plaza Almagro,January,10
8306,553,Constitución,FACULTAD DE INGENIERIA,January,10
8333,789,Pacifico,ARAOZ,January,27
8336,647,PARQUE DEL BAJO,HUMBERTO 1°,January,27
8346,1161,Constitución,MANZANA 66,January,27
8362,1546,Congreso,Reconquista,January,17
8365,684,Constitución,CARLOS CALVO,January,17
8371,638,Constitución,FACULTAD DE INGENIERIA,January,17
8412,842,PARQUE DEL BAJO,HUMBERTO 1°,January,11
8424,1174,Constitución,MANZANA 66,January,11
8430,931,Pacifico,Paseo de las Americas,January,11
8450,1136,Congreso,Plaza Almagro,January,19
8456,905,Pacifico,Plaza Palermo Viejo,January,19
8487,1350,Constitución,Plaza Vicente Lopez,January,06
8519,840,Pacifico,De Los Ombues,January,06
8539,1663,PARQUE DEL BAJO,Plaza Almagro,January,09
8547,522,Constitución,FACULTAD DE INGENIERIA,January,09
8580,2321,Congreso,CASA SAN,January,24
8583,1423,Constitución,MANZANA 66,January,24
8586,512,Plaza Italia,General Urquiza,January,24
8613,526,Plaza Italia,Plaza Guemes,January,22
8619,73,Constitución,Constitución,January,22
8640,757,Constitución,OBELISCO,January,04
8644,3074,Pacifico,Pacifico,January,04
8653,1156,Pacifico,Plaza Palermo Viejo,January,04
8662,156,PARQUE DEL BAJO,MACACHA GUEMES,January,04
8663,620,Constitución,HUMBERTO 1°,January,04
8715,273,PARQUE DEL BAJO,JUANA MANSO I,January,20
8716,175,PARQUE DEL BAJO,ADUANA,January,20
8723,226,Constitución,Constitución,January,20
8724,575,Constitución,Independencia,January,20
8725,923,Constitución,Madero UCA,January,20
8743,2555,PARQUE DEL BAJO,Reconquista,January,14
8751,861,Constitución,Madero UCA,January,14
8768,2925,Plaza Italia,Pacifico,January,28
8796,441,PARQUE DEL BAJO,RETIRO II,January,16
8816,1415,Plaza Italia,General Urquiza,January,16
8885,112,PARQUE DEL BAJO,MACACHA GUEMES,January,01
8890,1125,Pacifico,Donato Alvarez,January,05
8901,322,PARQUE DEL BAJO,JUANA MANSO I,January,05
8937,492,PARQUE DEL BAJO,RETIRO II,January,23
8952,173,PARQUE DEL BAJO,ADUANA,January,18
8996,852,Constitución,BELGRANO,January,13
9002,1290,Constitución,Cabello,January,13
9013,1540,Constitución,Cementerio de Recoleta,January,13
9016,1262,Pacifico,FACULTAD DE DERECHO,January,13
9048,1685,PARQUE DEL BAJO,Peña,January,12
9079,3380,Pacifico,Pacifico,January,02
9108,3209,Plaza Italia,Plaza Derechos del hombre,January,02
9114,2204,Pacifico,De Los Ombues,January,26
9162,754,PARQUE DEL BAJO,RODRIGO BUENO,January,30
